City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,cole harbour,44.6724,-63.4751,-12.25,74,93,4.47,CA,1738809717
314,puerto madero,14.7208,-92.4215,25.11,83,0,1.03,MX,1738809719
315,paracuru,-3.41,-39.0306,25.27,88,100,3.17,BR,1738809720
316,gwanda,-20.9333,29.0,21.12,67,20,2.4,ZW,1738809721
317,tougue,11.4667,-11.6,18.34,23,100,1.13,GN,1738809722
318,kayangel,8.0823,134.7173,28.19,80,99,9.54,PW,1738809723
319,uthal,25.8072,66.6219,16.51,20,2,1.08,PK,1738809724
320,shetpe,44.1667,52.1167,0.77,61,99,3.05,KZ,1738809725
321,sicuani,-14.2694,-71.2261,9.27,81,81,1.56,PE,1738809727
322,cuajinicuilapa,16.4667,-98.4167,24.89,73,7,0.86,MX,1738809728
323,nadym,65.5333,72.5167,-12.05,93,100,3.66,RU,1738809729
324,sidhi,24.4167,81.8833,16.7,30,0,2.9,IN,1738809730
325,inarajan village,13.2736,144.7484,30.55,79,78,7.05,GU,1738809731
326,bikenibeu village,1.3673,173.1241,26.89,83,42,7.25,KI,1738809732
327,san patricio,28.017,-97.5169,21.97,83,0,5.97,US,1738809733
328,vacha,55.8008,42.7706,-8.87,96,21,2.02,RU,1738809735
329,merida,20.9667,-89.6167,25.57,78,40,5.36,MX,1738809736
330,pemangkat,1.1667,108.9667,26.39,84,100,5.0,ID,1738809737
331,tianpeng,30.9866,103.9393,9.0,61,95,1.61,CN,1738809738
332,huarmey,-10.0681,-78.1522,22.79,78,100,2.63,PE,1738809360
333,chibougamau,49.9168,-74.3659,-16.21,72,100,5.66,CA,1738809338
334,tindouf,27.6711,-8.1474,13.25,26,0,3.09,DZ,1738809741
335,atafu village,-8.5421,-172.5159,28.88,71,9,7.69,TK,1738809743
336,miracema do tocantins,-9.5618,-48.3967,24.06,76,100,1.15,BR,1738809744
337,plaza huincul,-38.926,-69.2086,18.32,31,0,6.36,AR,1738809745
338,sitka,57.0531,-135.33,1.94,64,20,2.57,US,1738809415
339,punta arenas,-53.15,-70.9167,10.06,81,100,3.6,CL,1738809747
340,shelekhov,52.2139,104.1,-31.79,96,100,0.59,RU,1738809748
341,ulety,51.3572,112.4849,-20.58,73,96,3.2,RU,1738809750
342,mahina,-17.5065,-149.489,27.87,74,75,6.17,PF,1738809751
343,kununurra,-15.7667,128.7333,33.99,62,20,4.12,AU,1738809752
344,guarapari,-20.6667,-40.4975,22.65,82,34,3.46,BR,1738809753
345,tucupita,9.0622,-62.051,21.57,98,77,1.69,VE,1738809754
346,kostanay,53.1667,63.5833,-3.84,86,100,3.0,KZ,1738809755
347,raahe,64.6833,24.4833,-5.12,95,6,3.15,FI,1738809756
348,tulun,54.5611,100.5792,-16.49,94,100,1.41,RU,1738809758
349,enewetak,11.3474,162.3373,26.96,74,92,7.39,MH,1738809759
350,kenai,60.5544,-151.2583,-4.97,79,0,0.0,US,1738809760
351,barcelos,41.5388,-8.6151,6.86,72,100,2.02,PT,1738809761
352,smithers,54.7804,-127.1743,-15.82,72,20,1.54,CA,1738809762
353,dryden,49.7833,-92.7503,-11.84,56,100,5.66,CA,1738809583
354,camana,-16.6228,-72.7111,23.09,83,98,2.4,PE,1738809766
355,enumclaw,47.2043,-121.9915,1.42,92,96,2.05,US,1738809767
356,malmyzh,56.5205,50.6818,-15.2,96,72,1.92,RU,1738809769
357,herkimer,43.0256,-74.986,-11.1,49,100,1.37,US,1738809771
358,santa rosalia,27.3167,-112.2833,15.53,43,0,0.79,MX,1738809772
359,miribel,45.8258,4.9544,4.07,81,100,1.54,FR,1738809773
360,yerofey pavlovich,53.9667,121.9667,-16.84,74,100,2.15,RU,1738809774
361,frontera,26.9333,-101.45,24.07,58,0,1.48,MX,1738809775
